id,name,faultModeId,countBetweenFailures,iterationAtFailure
0,UC_Diag,-1,1549,0
1,Flash_Diag,-1,1549,0
2,R1_Diag,-1,1549,0
3,OC_Diag,-1,1549,0
4,R2_Diag,-1,1549,0
5,DC_DC_Diag,-1,1549,0
6,R1_Sys,-1,1549,0
7,OC1_Sys,-1,1549,0
8,R2_Sys,-1,1549,0
9,OC2_Sys,-1,1549,0
10,R3_Sys,-1,1549,0
11,OC3_Sys,-1,1549,0
12,D_Sys,-1,1549,0
13,K_Sys,-1,1549,0
14,OR_Sys,-1,1549,0
15,Q_Sys,-1,1549,0
16,R4_Sys,-1,1549,0
17,F_Sys,-1,1549,0
18,DZ_Sys,5,inf,1548
19,R5_Sys,-1,1549,0
20,UC_Sys,-1,1549,0
21,Flash_Sys,-1,1549,0
22,DC_DC_Sys,-1,1549,0
23,C_Sys,-1,1549,0
